A,C,B,D,Y
1,1,1,1,1
1,1,1,2,4
1,1,1,3,1
1,1,1,4,8
1,1,1,5,6
1,1,2,1,14
1,1,2,2,8
1,1,2,3,41
1,1,2,4,100
1,1,2,5,175
1,1,3,1,6
1,1,3,2,1
1,1,3,3,2
1,1,3,4,6
1,1,3,5,9
1,2,1,1,8
1,2,1,2,2
1,2,1,3,7
1,2,1,4,14
1,2,1,5,5
1,2,2,1,42
1,2,2,2,51
1,2,2,3,62
1,2,2,4,234
1,2,2,5,255
1,2,3,1,7
1,2,3,2,5
1,2,3,3,9
1,2,3,4,20
1,2,3,5,27
1,3,1,1,2
1,3,1,2,3
1,3,1,3,1
1,3,1,4,5
1,3,1,5,2
1,3,2,1,21
1,3,2,2,30
1,3,2,3,23
1,3,2,4,87
1,3,2,5,77
1,3,3,1,3
1,3,3,2,2
1,3,3,3,1
1,3,3,4,12
1,3,3,5,4
1,4,1,1,42
1,4,1,2,29
1,4,1,3,17
1,4,1,4,95
1,4,1,5,46
1,4,2,1,24
1,4,2,2,30
1,4,2,3,50
1,4,2,4,167
1,4,2,5,232
1,4,3,1,33
1,4,3,2,24
1,4,3,3,15
1,4,3,4,64
1,4,3,5,68
2,1,1,1,3
2,1,1,2,0
2,1,1,3,1
2,1,1,4,4
2,1,1,5,2
2,1,2,1,15
2,1,2,2,7
2,1,2,3,15
2,1,2,4,25
2,1,2,5,48
2,1,3,1,2
2,1,3,2,3
2,1,3,3,9
2,1,3,4,9
2,1,3,5,7
2,2,1,1,1
2,2,1,2,1
2,2,1,3,3
2,2,1,4,8
2,2,1,5,4
2,2,2,1,39
2,2,2,2,59
2,2,2,3,68
2,2,2,4,172
2,2,2,5,143
2,2,3,1,12
2,2,3,2,3
2,2,3,3,11
2,2,3,4,20
2,2,3,5,23
2,3,1,1,5
2,3,1,2,4
2,3,1,3,1
2,3,1,4,9
2,3,1,5,4
2,3,2,1,32
2,3,2,2,68
2,3,2,3,43
2,3,2,4,128
2,3,2,5,86
2,3,3,1,6
2,3,3,2,10
2,3,3,3,5
2,3,3,4,21
2,3,3,5,15
2,4,1,1,26
2,4,1,2,34
2,4,1,3,14
2,4,1,4,48
2,4,1,5,24
2,4,2,1,43
2,4,2,2,76
2,4,2,3,70
2,4,2,4,198
2,4,2,5,136
2,4,3,1,36
2,4,3,2,23
2,4,3,3,48
2,4,3,4,89
2,4,3,5,64
3,1,1,1,2
3,1,1,2,0
3,1,1,3,2
3,1,1,4,1
3,1,1,5,0
3,1,2,1,1
3,1,2,2,2
3,1,2,3,2
3,1,2,4,7
3,1,2,5,7
3,1,3,1,3
3,1,3,2,0
3,1,3,3,1
3,1,3,4,5
3,1,3,5,1
3,2,1,1,3
3,2,1,2,0
3,2,1,3,2
3,2,1,4,1
3,2,1,5,3
3,2,2,1,14
3,2,2,2,21
3,2,2,3,14
3,2,2,4,38
3,2,2,5,35
3,2,3,1,2
3,2,3,2,0
3,2,3,3,3
3,2,3,4,12
3,2,3,5,13
3,3,1,1,2
3,3,1,2,1
3,3,1,3,1
3,3,1,4,1
3,3,1,5,0
3,3,2,1,20
3,3,2,2,31
3,3,2,3,10
3,3,2,4,36
3,3,2,5,21
3,3,3,1,0
3,3,3,2,2
3,3,3,3,3
3,3,3,4,9
3,3,3,5,7
3,4,1,1,21
3,4,1,2,13
3,4,1,3,5
3,4,1,4,20
3,4,1,5,8
3,4,2,1,23
3,4,2,2,47
3,4,2,3,21
3,4,2,4,53
3,4,2,5,36
3,4,3,1,38
3,4,3,2,20
3,4,3,3,13
3,4,3,4,39
3,4,3,5,26
